0,1,2
1,AS MONACO,95 38 30 5 3 107 31 +76
2,PARIS SAINT-GERMAIN,87 38 27 6 5 83 27 +56
3,OGC NICE,78 38 22 12 4 63 36 +27
4,OLYMPIQUE LYONNAIS,67 38 21 4 13 77 48 +29
5,OLYMPIQUE DE MARSEILLE,62 38 17 11 10 57 41 +16
6,FC GIRONDINS DE BORDEAUX,59 38 15 14 9 53 43 +10
7,FC NANTES,51 38 14 9 15 40 54 -14
8,AS SAINT-ÉTIENNE,50 38 12 14 12 41 42 -1
9,STADE RENNAIS FC,50 38 12 14 12 36 42 -6
10,EN AVANT GUINGAMP,50 38 14 8 16 46 53 -7
11,LOSC LILLE,46 38 13 7 18 40 47 -7
12,ANGERS SCO,46 38 13 7 18 40 49 -9
13,TOULOUSE FC,44 38 10 14 14 37 41 -4
14,FC METZ,43 38 11 10 17 39 72 -33
15,MONTPELLIER HÉRAULT SC,39 38 10 9 19 48 66 -18
16,DIJON FCO,37 38 8 13 17 46 58 -12
17,STADE MALHERBE CAEN,37 38 10 7 21 36 65 -29
18,FC LORIENT,36 38 10 6 22 44 70 -26
19,AS NANCY LORRAINE,35 38 9 8 21 29 52 -23
20,SC BASTIA,34 38 8 10 20 29 54 -25
