0,1,2
1,PARIS SAINT-GERMAIN,83 38 24 11 3 83 36 +47
2,OLYMPIQUE LYONNAIS,75 38 22 9 7 72 33 +39
3,AS MONACO,71 38 20 11 7 51 26 +25
4,OLYMPIQUE DE MARSEILLE,69 38 21 6 11 76 42 +34
5,AS SAINT-ÉTIENNE,69 38 19 12 7 51 30 +21
6,FC GIRONDINS DE BORDEAUX,63 38 17 12 9 47 44 +3
7,MONTPELLIER HÉRAULT SC,56 38 16 8 14 46 39 +7
8,LOSC LILLE,56 38 16 8 14 43 42 +1
9,STADE RENNAIS FC,50 38 13 11 14 35 42 -7
10,EN AVANT GUINGAMP,49 38 15 4 19 41 55 -14
11,OGC NICE,48 38 13 9 16 44 53 -9
12,SC BASTIA,47 38 12 11 15 37 46 -9
13,STADE MALHERBE CAEN,46 38 12 10 16 54 55 -1
14,FC NANTES,45 38 11 12 15 29 40 -11
15,STADE DE REIMS,44 38 12 8 18 47 66 -19
16,FC LORIENT,43 38 12 7 19 44 50 -6
17,TOULOUSE FC,42 38 12 6 20 43 64 -21
18,EVIAN THONON GAILLARD F. C.,37 38 11 4 23 41 62 -21
19,FC METZ,30 38 7 9 22 31 61 -30
20,RC LENS,29 38 7 8 23 32 61 -29
