0,1,2
1,PARIS SAINT-GERMAIN,89 38 27 8 3 84 23 +61
2,AS MONACO,80 38 23 11 4 63 31 +32
3,LOSC LILLE,71 38 20 11 7 46 26 +20
4,AS SAINT-ÉTIENNE,69 38 20 9 9 56 34 +22
5,OLYMPIQUE LYONNAIS,61 38 17 10 11 56 44 +12
6,OLYMPIQUE DE MARSEILLE,60 38 16 12 10 53 40 +13
7,FC GIRONDINS DE BORDEAUX,53 38 13 14 11 49 43 +6
8,FC LORIENT,49 38 13 10 15 48 53 -5
9,TOULOUSE FC,49 38 12 13 13 46 53 -7
10,SC BASTIA,49 38 13 10 15 42 56 -14
11,STADE DE REIMS,48 38 12 12 14 44 52 -8
12,STADE RENNAIS FC,46 38 11 13 14 47 45 +2
13,FC NANTES,46 38 12 10 16 38 43 -5
14,EVIAN THONON GAILLARD F. C.,44 38 11 11 16 39 51 -12
15,MONTPELLIER HÉRAULT SC,42 38 8 18 12 45 53 -8
16,EN AVANT GUINGAMP,42 38 11 9 18 34 42 -8
17,OGC NICE,42 38 12 6 20 30 44 -14
18,FC SOCHAUX-MONTBÉLIARD,40 38 10 10 18 37 61 -24
19,VALENCIENNES FC,29 38 7 8 23 37 65 -28
20,AC AJACCIO,23 38 4 11 23 37 72 -35
