0,1,2
1,AS MONACO,65 34 20 5 9 69 38 +31
2,PARIS SAINT-GERMAIN,58 34 16 10 8 54 40 +14
3,OLYMPIQUE LYONNAIS,56 34 16 8 10 45 42 +3
4,FC GIRONDINS DE BORDEAUX,54 34 15 9 10 52 40 +12
5,RC LENS,49 34 14 7 13 42 41 +1
6,AS SAINT-ÉTIENNE,48 34 13 9 12 46 47 -1
7,C.S. SEDAN ARDENNES,48 34 13 9 12 43 44 -1
8,AJ AUXERRE,47 34 13 8 13 37 39 -2
9,RC STRASBOURG ALSACE,46 34 13 7 14 42 52 -10
10,SC BASTIA,45 34 11 12 11 43 39 +4
11,FC METZ,44 34 9 17 8 38 33 +5
12,FC NANTES,43 34 12 7 15 39 40 -1
13,STADE RENNAIS FC,43 34 12 7 15 44 48 -4
14,ESTAC TROYES,43 34 13 4 17 36 52 -16
15,OLYMPIQUE DE MARSEILLE,42 34 9 15 10 45 45 0
16,AS NANCY LORRAINE,42 34 11 9 14 43 45 -2
17,HAVRE ATHLETIC CLUB,34 34 9 7 18 30 52 -22
18,MONTPELLIER HÉRAULT SC,31 34 7 10 17 39 50 -11
