#,Équipe,Points,Pld,GD,W,D,L,GF,GA
1,Real Madrid,86,38,49,26,8,4,80,31
2,Barcelone,73,38,30,21,10,7,68,38
3,Atlético,71,38,22,21,8,9,65,43
4,Séville,70,38,23,18,16,4,53,30
5,Betis,65,38,22,19,8,11,62,40
6,Real Sociedad,62,38,3,17,11,10,40,37
7,Villarreal,59,38,26,16,11,11,63,37
8,Bilbao,55,38,7,14,13,11,43,36
9,Valence,48,38,-5,11,15,12,48,53
10,Osasuna,47,38,-14,12,11,15,37,51
11,Celta Vigo,46,38,0,12,10,16,43,43
12,Vallecano,42,38,-11,11,9,18,39,50
13,Elche,42,38,-12,11,9,18,40,52
14,Espanyol,42,38,-13,10,12,16,40,53
15,Getafe,39,38,-8,8,15,15,33,41
16,Majorque,39,38,-27,10,9,19,36,63
17,Cadix,39,38,-16,8,15,15,35,51
18,Grenade,38,38,-17,8,14,16,44,61
19,Levante,35,38,-25,8,11,19,51,76
20,Alavés,31,38,-34,8,7,23,31,65
